# Silicon Energy /keV, Vertex Location /mm
nan,3.370175720023325994e+01
nan,3.091181252103706356e+01
nan,2.812186784184086719e+01
nan,2.533192316264466726e+01
nan,2.254197848344847444e+01
nan,1.975203380425227451e+01
nan,1.696208912505607813e+01
nan,1.417214444585988176e+01
nan,1.138219976666368538e+01
nan,8.592255087467490782e+00
nan,5.802310408271291742e+00
nan,3.012365729075092702e+00
nan,2.224210498788981027e-01
nan,-2.567523629317296496e+00
nan,-5.357468308513495536e+00
nan,-8.147412987709694576e+00
nan,-1.093735766690588918e+01
nan,-1.372730234610208377e+01
nan,-1.651724702529827837e+01
nan,-1.930719170449448185e+01
nan,-2.209713638369067468e+01
1.952299382136775421e+02,-2.488708106288687105e+01
6.491987034082243326e+02,-2.767702574208307453e+01
1.160426943794835552e+03,-3.046697042127927091e+01
1.612917754475902939e+03,-3.325691510047546728e+01
2.027783604611015789e+03,-3.604685977967165655e+01
2.397913964963131548e+03,-3.883680445886785293e+01
2.756272352313489137e+03,-4.162674913806405641e+01
3.080458063205833696e+03,-4.441669381726025279e+01
3.402317502347235859e+03,-4.720663849645644916e+01
3.702338358296345632e+03,-4.999658317565264554e+01
3.997926820893191689e+03,-5.278652785484883481e+01
4.273998202299572768e+03,-5.557647253404503829e+01
4.555481746784977986e+03,-5.836641721324124177e+01
4.828516385326160162e+03,-6.115636189243743104e+01
5.092014518483410029e+03,-6.394630657163362741e+01
5.340971254512291125e+03,-6.673625125082980958e+01
5.581787012086226241e+03,-6.952619593002602016e+01
5.831415920779912994e+03,-7.231614060922223075e+01
6.077255485955488439e+03,-7.510608528841841292e+01
6.310457951249355574e+03,-7.789602996761460929e+01
6.539033961551462198e+03,-8.068597464681081988e+01
6.754763112918372826e+03,-8.347591932600700204e+01
6.989848315840526993e+03,-8.626586400520321263e+01
7.205867047396782255e+03,-8.905580868439940900e+01
7.419213320204125921e+03,-9.184575336359559117e+01
7.630712250960754318e+03,-9.463569804279180175e+01
7.840403942035473847e+03,-9.742564272198798392e+01
8.056277534400905097e+03,-1.002155874011841945e+02
8.256987945575261620e+03,-1.030055320803803909e+02
8.455990431816037017e+03,-1.057954767595765730e+02
8.653297581583155988e+03,-1.085854214387727836e+02
8.848930565856382600e+03,-1.113753661179689658e+02
9.054289895411544421e+03,-1.141653107971651764e+02
9.253181003377967500e+03,-1.169552554763613728e+02
9.450439014150733783e+03,-1.197452001555575549e+02
9.646099744248438583e+03,-1.225351448347537655e+02
9.840212545850237802e+03,-1.253250895139499619e+02
1.003291549363822378e+04,-1.281150341931461583e+02
1.022442371931198977e+04,-1.309049788723423546e+02
1.041453706036529184e+04,-1.336949235515385510e+02
1.060327845839357906e+04,-1.364848682307347758e+02
1.079066098274334581e+04,-1.392748129099309153e+02
1.097669767057449462e+04,-1.420647575891271401e+02
1.114957507367126527e+04,-1.448547022683233365e+02
1.132420200682172799e+04,-1.476446469475195329e+02
1.149759696953340790e+04,-1.504345916267157577e+02
1.166977741614793740e+04,-1.532245363059118972e+02
1.184076080100692343e+04,-1.560144809851081220e+02
1.200997766937912456e+04,-1.588044256643043184e+02
1.217423933668836253e+04,-1.615943703435005148e+02
1.234157651073894340e+04,-1.643843150226967396e+02
1.250779849180438760e+04,-1.671742597018928791e+02
1.267292498771597820e+04,-1.699642043810891039e+02
1.283697572758815113e+04,-1.727541490602853003e+02
1.299997166657754133e+04,-1.755440937394814966e+02
1.315669755931527470e+04,-1.783340384186777214e+02
1.331753959912322898e+04,-1.811239830978739178e+02
1.347740082330305268e+04,-1.839139277770700858e+02
1.363630409536485968e+04,-1.867038724562662821e+02
1.379427227881873659e+04,-1.894938171354624785e+02
1.395132823717480824e+04,-1.922837618146587033e+02
1.410223859818481469e+04,-1.950737064938548997e+02
1.425746344513872646e+04,-1.978636511730510676e+02
1.441184867483259404e+04,-2.006535958522472640e+02
1.456541481174524597e+04,-2.034435405314434604e+02
1.471817149500593769e+04,-2.062334852106396852e+02
1.487012504762748904e+04,-2.090234298898358816e+02
1.502026837317025820e+04,-2.118133745690320779e+02
1.516649011871430775e+04,-2.146033192482282459e+02
1.531602855532885224e+04,-2.173932639274244423e+02
1.546479251746014779e+04,-2.201832086066206671e+02
1.561278829995814158e+04,-2.229731532858168634e+02
1.576002219767279348e+04,-2.257630979650130598e+02
1.590650050545409613e+04,-2.285530426442092278e+02
1.604985544914508682e+04,-2.313429873234054241e+02
1.619637300390151722e+04,-2.341329320026016489e+02
1.634714153187259762e+04,-2.369228766817978453e+02
1.649715222307777367e+04,-2.397128213609940417e+02
1.664641181164586305e+04,-2.425027660401902097e+02
1.679492759991220373e+04,-2.452927107193864060e+02
1.694270698904602978e+04,-2.480826553985826308e+02
1.708585488542451276e+04,-2.508726000777788272e+02
1.722582155830628471e+04,-2.536625447569750236e+02
1.736510508754684633e+04,-2.564524894361711631e+02
1.750371255252545961e+04,-2.592424341153674163e+02
1.764165103262134653e+04,-2.620323787945636127e+02
1.777892760721375817e+04,-2.648223234737598091e+02
1.791554935568194560e+04,-2.676122681529560055e+02
1.804740148881273490e+04,-2.704022128321522018e+02
1.817583971363069577e+04,-2.731921575113483982e+02
1.831165083228525327e+04,-2.759821021905445946e+02
1.844683484088427940e+04,-2.787720468697407910e+02
1.858139883596817526e+04,-2.815619915489369873e+02
1.871535040844372998e+04,-2.843519362281331837e+02
1.884869784996975068e+04,-2.871418809073293801e+02
1.898144950542853621e+04,-2.899318255865255765e+02
1.911361371970237815e+04,-2.927217702657218297e+02
1.924519883767357533e+04,-2.955117149449179692e+02
1.937621320422443023e+04,-2.983016596241141087e+02
1.950666516423723442e+04,-3.010916043033103620e+02
1.963656306259426492e+04,-3.038815489825065583e+02
1.976591524417783876e+04,-3.066714936617028116e+02
1.989473005387023659e+04,-3.094614383408989511e+02
2.002115426153838416e+04,-3.122513830200950906e+02
2.013858542013851184e+04,-3.150413276992913438e+02
2.025554568053617913e+04,-3.178312723784875402e+02
2.037204271265994612e+04,-3.206212170576837934e+02
2.048808418643839104e+04,-3.234111617368799330e+02
2.060542980204235573e+04,-3.262011064160760725e+02
2.073164607711526332e+04,-3.289910510952723257e+02
2.085738519060152612e+04,-3.317809957744685221e+02
2.098265156436522011e+04,-3.345709404536647753e+02
2.110744962027038491e+04,-3.373608851328609148e+02
2.123178378018106014e+04,-3.401508298120570544e+02
2.135565846596131814e+04,-3.429407744912533076e+02
2.147907809947518399e+04,-3.457307191704495040e+02
2.160204710258675186e+04,-3.485206638496457572e+02
2.172456989716003227e+04,-3.513106085288418967e+02
2.184665090505909757e+04,-3.541005532080380362e+02
2.196829454814799465e+04,-3.568904978872342895e+02
2.208950524829076676e+04,-3.596804425664304858e+02
2.221028742735147898e+04,-3.624703872456267391e+02
2.233064550719417093e+04,-3.652603319248228786e+02
2.245058390968289314e+04,-3.680502766040190181e+02
2.256442270073455074e+04,-3.708402212832152713e+02
2.267387708120771276e+04,-3.736301659624114677e+02
2.278295688167888147e+04,-3.764201106416077209e+02
2.289166501694030376e+04,-3.792100553208038605e+02
nan,-3.820000000000000000e+02
